                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8348,                 2.9694,                 1.3447,                 0.4006,                0.44832,                0.33213,                0.16904,                 1.5079,                 3.0467,                 1.1486,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.4462,                  1.125,                 1.1039,                0.69704,                0.57989,                0.62276,                0.36674,                 1.3913,                 2.1783,                 1.0816,               0.059352,              0.0043515,              0.0043515
                      2,                 1.3705,                0.98027,                 1.0533,                0.76006,                0.60945,                0.67846,                0.42583,                 1.2124,                 1.4892,                0.99746,               0.038351,              0.0063512,              0.0063512
                      3,                 1.3308,                0.99666,                 1.0103,                0.75261,                 0.6292,                0.72075,                0.46696,                 1.1829,                0.87649,                0.96689,               0.017199,              0.0081991,              0.0081991
                      4,                 1.3339,                0.94614,                 1.0049,                0.77562,                 0.6528,                0.73638,                0.44564,                 1.2453,                0.97787,                0.98389,                0.00868,                0.00868,                0.00868
                      5,                 1.3518,                0.90418,                 1.0086,                0.78834,                   0.63,                0.73073,                0.43386,                 1.3131,                0.96869,                0.99882,                0.00868,                0.00868,                0.00868
                      6,                 1.3143,                 0.8829,                0.99141,                0.78003,                0.68292,                0.76559,                0.50287,                  1.114,                0.80819,                0.94143,                0.00835,                0.00835,                0.00835
                      7,                 1.2373,                0.85301,                0.97757,                0.79968,                0.70096,                 0.7798,                0.50537,                 1.1482,                0.81773,                 0.9502,                0.00802,                0.00802,                0.00802
                      8,                 1.2339,                0.80209,                0.97648,                0.81598,                0.70569,                0.78912,                0.52038,                  1.104,                0.75195,                0.94052,                0.00769,                0.00769,                0.00769
                      9,                 1.2194,                0.78449,                0.97027,                0.81744,                0.72048,                 0.7946,                0.52012,                 1.1128,                0.76256,                0.93551,                0.00736,                0.00736,                0.00736
                     10,                 1.1866,                0.76584,                0.96112,                0.82113,                0.69699,                0.78633,                0.52217,                 1.0913,                0.76392,                0.93825,                0.00703,                0.00703,                0.00703
                     11,                 1.1786,                0.75047,                0.95016,                 0.8043,                0.74398,                0.80866,                0.54826,                   1.03,                0.69973,                0.92044,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1496,                0.73636,                0.95214,                0.83613,                0.73444,                 0.8178,                0.55556,                 1.0659,                0.73452,                0.92365,                0.00637,                0.00637,                0.00637
                     13,                 1.1497,                0.72289,                0.95632,                 0.8217,                0.74491,                0.82207,                0.56063,                 1.0499,                0.66751,                0.91672,                0.00604,                0.00604,                0.00604
                     14,                  1.123,                0.72013,                0.94513,                0.82674,                0.72081,                0.81128,                0.55064,                 1.0422,                0.72254,                0.92517,                0.00571,                0.00571,                0.00571
                     15,                  1.112,                0.70638,                0.94124,                0.83398,                0.72533,                0.81709,                0.55898,                 1.0568,                 0.6667,                0.92359,                0.00538,                0.00538,                0.00538
                     16,                 1.1043,                0.67814,                0.93736,                0.84535,                0.72082,                0.81134,                0.56379,                0.99861,                0.68346,                0.90548,                0.00505,                0.00505,                0.00505
                     17,                 1.0998,                0.68352,                0.93681,                0.82926,                0.74893,                0.82803,                0.57369,                  1.014,                0.65776,                0.90608,                0.00472,                0.00472,                0.00472
                     18,                 1.0584,                0.66261,                0.92178,                0.84162,                0.73542,                0.82121,                0.56068,                 1.0264,                0.66631,                0.91343,                0.00439,                0.00439,                0.00439
                     19,                 1.0406,                0.64833,                0.92257,                 0.8451,                0.75084,                 0.8299,                0.57403,                0.99714,                0.63849,                0.90698,                0.00406,                0.00406,                0.00406
                     20,                 1.0275,                0.66837,                0.92779,                0.83838,                0.74928,                0.82006,                0.56268,                 1.0676,                0.66897,                0.91771,                0.00373,                0.00373,                0.00373
                     21,                 1.0094,                 0.6366,                0.91802,                0.84586,                0.71563,                0.81413,                0.57059,                0.99817,                 0.6481,                0.90547,                 0.0034,                 0.0034,                 0.0034
                     22,                0.97892,                0.61705,                 0.9054,                0.83181,                0.74186,                0.81953,                0.57356,                0.99054,                0.63696,                0.90691,                0.00307,                0.00307,                0.00307
                     23,                0.97257,                0.60862,                0.90093,                0.85061,                0.73793,                0.82881,                 0.5752,                0.99163,                0.63417,                0.90711,                0.00274,                0.00274,                0.00274
                     24,                0.95987,                0.59904,                0.90358,                0.86167,                0.74602,                0.83199,                0.58656,                0.96942,                0.62201,                0.89765,                0.00241,                0.00241,                0.00241
                     25,                0.95904,                0.59254,                0.90329,                 0.8505,                0.74214,                0.82915,                0.58363,                0.97524,                0.61147,                0.90134,                0.00208,                0.00208,                0.00208
                     26,                0.95177,                0.58611,                0.90059,                0.86705,                0.74306,                0.83828,                0.59002,                0.98056,                0.60838,                0.90112,                0.00175,                0.00175,                0.00175
                     27,                0.93963,                0.57541,                0.89687,                 0.8533,                0.75733,                0.84447,                0.59389,                0.97229,                0.60252,                0.89899,                0.00142,                0.00142,                0.00142
                     28,                0.92876,                0.57871,                0.89514,                0.86019,                0.75386,                0.84436,                0.59899,                0.95603,                 0.5928,                0.89446,                0.00109,                0.00109,                0.00109
                     29,                0.91644,                0.55222,                 0.8925,                0.86097,                0.76437,                0.84509,                0.59687,                0.95499,                0.59352,                0.89397,                0.00076,                0.00076,                0.00076
