                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3431,                 2.1136,                 1.3426,                0.71096,                0.61843,                0.68744,                0.51444,                0.90091,                 1.1392,                 1.0848,               0.070132,              0.0033186,              0.0033186
                      1,                 1.0548,                 1.1651,                 1.1194,                0.81895,                 0.6781,                0.77184,                0.57837,                0.88493,                0.92697,                 1.0047,               0.039913,              0.0064325,              0.0064325
                      2,                 1.0595,                 1.0666,                  1.088,                0.77653,                0.66287,                0.73861,                0.54046,                0.96431,                0.97946,                  1.045,              0.0094731,              0.0093263,              0.0093263
                      3,                 1.0891,                 1.0744,                 1.0929,                0.78827,                0.72249,                0.78735,                0.58537,                0.91942,                 0.8601,                  1.025,                0.00901,                0.00901,                0.00901
                      4,                 1.0816,                 1.0391,                 1.0886,                0.81217,                0.72709,                0.80047,                0.59314,                0.89633,                0.86417,                 1.0231,                0.00901,                0.00901,                0.00901
                      5,                 1.0347,                0.98205,                 1.0715,                0.81277,                0.74435,                0.80868,                0.60545,                0.87525,                0.84667,                 1.0078,                0.00868,                0.00868,                0.00868
                      6,                 1.0183,                0.94345,                  1.061,                0.82063,                0.73217,                0.81365,                0.61373,                0.85686,                0.78584,                0.99451,                0.00835,                0.00835,                0.00835
                      7,                0.98304,                0.89799,                 1.0459,                0.83277,                0.78006,                0.84407,                0.64529,                0.83482,                0.73172,                0.97707,                0.00802,                0.00802,                0.00802
                      8,                0.96556,                0.87236,                 1.0347,                0.83354,                0.79992,                0.86216,                0.66329,                0.80314,                0.73636,                0.96057,                0.00769,                0.00769,                0.00769
                      9,                0.94575,                0.84616,                 1.0261,                0.83633,                0.78262,                0.85582,                0.65981,                0.79971,                0.70892,                0.97629,                0.00736,                0.00736,                0.00736
                     10,                0.93186,                0.81932,                 1.0225,                0.87415,                0.79666,                 0.8709,                 0.6878,                0.75221,                0.67269,                 0.9396,                0.00703,                0.00703,                0.00703
                     11,                0.90837,                0.79789,                 1.0083,                0.85401,                 0.8187,                0.87878,                0.69855,                0.75018,                0.64807,                0.94543,                 0.0067,                 0.0067,                 0.0067
                     12,                0.87821,                0.76038,                0.99399,                0.84549,                0.81798,                0.88133,                0.69381,                0.74495,                0.63937,                0.93651,                0.00637,                0.00637,                0.00637
                     13,                0.86958,                0.74849,                0.99525,                0.84864,                 0.8202,                0.87682,                0.69475,                0.74491,                0.63946,                0.94043,                0.00604,                0.00604,                0.00604
                     14,                0.85725,                0.74141,                 0.9873,                0.85927,                 0.8339,                0.89646,                0.72292,                0.71125,                 0.5957,                0.92337,                0.00571,                0.00571,                0.00571
                     15,                0.84374,                0.71897,                0.98344,                0.87822,                0.85161,                0.90142,                0.72957,                0.70161,                0.57437,                0.92179,                0.00538,                0.00538,                0.00538
                     16,                0.82584,                0.70083,                0.97516,                0.87772,                0.84325,                0.90345,                 0.7365,                0.68069,                0.57688,                0.90779,                0.00505,                0.00505,                0.00505
                     17,                0.81299,                0.68731,                0.97083,                0.87788,                0.84768,                0.90195,                0.73393,                0.68398,                0.56314,                0.91037,                0.00472,                0.00472,                0.00472
                     18,                0.80749,                0.67148,                0.96733,                0.87435,                0.85608,                0.90752,                0.73875,                0.68047,                0.57061,                0.90965,                0.00439,                0.00439,                0.00439
                     19,                0.78687,                0.65656,                0.95793,                0.87046,                0.85929,                0.91043,                0.74915,                0.66453,                0.54695,                0.90125,                0.00406,                0.00406,                0.00406
                     20,                0.70746,                 0.5626,                0.91651,                0.87277,                0.84334,                0.90126,                0.73464,                 0.6766,                0.58058,                0.90903,                0.00373,                0.00373,                0.00373
                     21,                0.69308,                0.54863,                 0.9095,                0.89038,                 0.8513,                0.90803,                0.74681,                0.65475,                0.54856,                0.89719,                 0.0034,                 0.0034,                 0.0034
                     22,                0.67687,                0.52619,                0.90504,                0.86783,                0.87144,                0.90537,                0.74828,                0.64988,                  0.539,                0.89381,                0.00307,                0.00307,                0.00307
                     23,                 0.6623,                0.50836,                0.89598,                0.89388,                0.84976,                0.90949,                0.76149,                0.63739,                0.53336,                0.88963,                0.00274,                0.00274,                0.00274
                     24,                0.64817,                0.49302,                0.88846,                0.88169,                0.86869,                0.92021,                0.77052,                0.61823,                0.52365,                0.88332,                0.00241,                0.00241,                0.00241
                     25,                0.64283,                 0.4831,                0.89036,                 0.9106,                0.86247,                0.92444,                0.77927,                0.61268,                0.50575,                 0.8813,                0.00208,                0.00208,                0.00208
                     26,                 0.6219,                0.46281,                0.88323,                0.89378,                0.87846,                0.92547,                0.77924,                0.61233,                0.49253,                 0.8814,                0.00175,                0.00175,                0.00175
                     27,                0.60999,                0.44635,                0.87352,                0.89317,                0.88012,                 0.9259,                 0.7821,                0.59871,                0.49182,                0.87751,                0.00142,                0.00142,                0.00142
                     28,                0.58899,                0.43032,                0.86711,                0.89272,                0.87617,                0.92841,                0.78717,                 0.5899,                0.48812,                0.87265,                0.00109,                0.00109,                0.00109
                     29,                0.58611,                0.42257,                0.86561,                 0.8957,                0.88265,                0.93109,                0.79502,                0.57767,                0.47555,                0.86827,                0.00076,                0.00076,                0.00076
